source,target,threshold_policy,global,per_subject,delta_per_subject_vs_global
campanella,nurse,fixed_0.5,0.507,0.502,-0.004
campanella,nurse,source_tuned,0.505,0.499,-0.006
campanella,wesad,fixed_0.5,0.468,0.465,-0.003
campanella,wesad,source_tuned,0.467,0.458,-0.009
nurse,campanella,fixed_0.5,0.435,0.464,0.029
nurse,campanella,source_tuned,0.458,0.474,0.016
nurse,wesad,fixed_0.5,0.439,0.399,-0.039
nurse,wesad,source_tuned,0.438,0.41,-0.029
wesad,campanella,fixed_0.5,0.386,0.348,-0.038
wesad,campanella,source_tuned,0.393,0.326,-0.066
wesad,nurse,fixed_0.5,0.312,0.362,0.051
wesad,nurse,source_tuned,0.323,0.376,0.054
wesad+campanella,nurse,fixed_0.5,0.409,0.521,0.112
wesad+campanella,nurse,source_tuned,0.526,0.521,-0.005
