source,target,model,normalization,threshold_policy,elapsed_sec,n_train,n_test,n_train_groups,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
wesad,campanella,rf,per_subject,fixed_0.5,12.96,919,1844,15,0.5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.3362255965292842,0.47565678856662463,0.28077823154223835,0.32678983833718245,0.907051282051282,0.48047538200339557,0.48214285714285715,0.04426229508196721,0.08108108108108109,0.4779883879781421
wesad,campanella,svm,per_subject,fixed_0.5,0.65,919,1844,15,0.5,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.37581344902386116,0.49383144178226146,0.3482828450315427,0.33520950594121324,0.8589743589743589,0.48223121907332434,0.6408163265306123,0.12868852459016394,0.2143344709897611,0.49231557377049184
wesad,campanella,xgb,per_subject,fixed_0.5,2.92,919,1844,15,0.5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.35954446854663774,0.47762189995796556,0.32971562150374806,0.326911124922312,0.842948717948718,0.471115091804747,0.5829787234042553,0.11229508196721312,0.18831615120274914,0.47277085960487597
wesad,campanella,rf,per_subject,source_tuned,7.2,919,1844,15,0.3999999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.35195227765726683,0.47344997898276586,0.31807582746258223,0.32495401594114043,0.8493589743589743,0.4700665188470067,0.5586854460093896,0.09754098360655737,0.16608513607815772,0.4779883879781421
wesad,campanella,svm,per_subject,source_tuned,0.89,919,1844,15,0.58,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.3633405639913232,0.49027690205968893,0.3263690087973036,0.33353510895883776,0.8830128205128205,0.484182776801406,0.6197916666666666,0.09754098360655737,0.16855524079320114,0.49231557377049184
wesad,campanella,xgb,per_subject,source_tuned,3.51,919,1844,15,0.8599999999999999,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.34761388286334055,0.4842633459436738,0.2978306594434447,0.3308007013442431,0.907051282051282,0.484796573875803,0.5639097744360902,0.06147540983606557,0.11086474501108648,0.47277085960487597
wesad,campanella,rf,global,fixed_0.5,5.7,919,1844,15,0.5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.37418655097613884,0.4828157839428331,0.3532208022097728,0.3292525773195876,0.8189102564102564,0.4696691176470588,0.613013698630137,0.14672131147540984,0.23677248677248677,0.47478194619588066
wesad,campanella,svm,global,fixed_0.5,0.72,919,1844,15,0.5,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.3633405639913232,0.48009930643127363,0.33510486692613123,0.328125,0.8413461538461539,0.4721223021582734,0.5942622950819673,0.11885245901639344,0.19808743169398907,0.4769178226145439
wesad,campanella,xgb,global,fixed_0.5,3.08,919,1844,15,0.5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.398590021691974,0.4961696090794452,0.38629530207384577,0.3362592842673869,0.7980769230769231,0.4731591448931116,0.6528925619834711,0.1942622950819672,0.2994314592545799,0.4776757566204288
wesad,campanella,rf,global,source_tuned,7.86,919,1844,15,0.4499999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.3866594360086768,0.4789328499369483,0.3760009335014833,0.3264887063655031,0.7644230769230769,0.45755395683453237,0.6161879895561357,0.19344262295081968,0.2944479101684342,0.47478194619588066
wesad,campanella,svm,global,source_tuned,1.09,919,1844,15,0.3,"{'clf__C': 0.5, 'clf__gamma': 'scale'}",0.38015184381778744,0.47362337116435477,0.36845057508461093,0.3235893949694086,0.7628205128205128,0.45441527446300717,0.6032171581769437,0.18442622950819673,0.2824858757062147,0.4769178226145439
wesad,campanella,xgb,global,source_tuned,3.88,919,1844,15,0.41999999999999993,"{'clf__learning_rate': 0.1, 'clf__max_depth': 6, 'clf__n_estimators': 200}",0.4018438177874187,0.4927569356872636,0.3928037373970471,0.3342560553633218,0.7740384615384616,0.46689221846302564,0.6466165413533834,0.21147540983606558,0.31871525633106856,0.4776757566204288
wesad,nurse,rf,per_subject,fixed_0.5,6.52,919,1720,15,0.5,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.3244186046511628,0.4425914098045246,0.3234819436320704,0.19327073552425664,0.6534391534391535,0.29830917874396135,0.7036199095022625,0.23174366616989567,0.3486547085201794,0.4523494113658048
wesad,nurse,svm,per_subject,fixed_0.5,0.6,919,1720,15,0.5,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.32848837209302323,0.44900014981982195,0.32758625941848024,0.1962470680218921,0.6640211640211641,0.3029571514785757,0.7120181405895691,0.23397913561847988,0.35221536735838477,0.43053978504798174
wesad,nurse,xgb,per_subject,fixed_0.5,3.22,919,1720,15,0.5,"{'clf__learning_rate': 0.1, 'clf__max_depth': 4, 'clf__n_estimators': 400}",0.3680232558139535,0.4600828740173002,0.36243703705977093,0.19983065198983913,0.6243386243386243,0.3027581783194355,0.7365491651205937,0.29582712369597614,0.42211589580010633,0.459087360726705
wesad,nurse,rf,per_subject,source_tuned,9.5,919,1720,15,0.3999999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.38488372093023254,0.46613677761218747,0.376452850877193,0.202276707530648,0.6111111111111112,0.30394736842105263,0.745674740484429,0.3211624441132638,0.44895833333333335,0.4523494113658048
wesad,nurse,svm,per_subject,source_tuned,1.05,919,1720,15,0.58,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.3133720930232558,0.44501415403054745,0.3132270034062767,0.19514047076689445,0.6798941798941799,0.3032448377581121,0.6997518610421837,0.21013412816691504,0.32320916905444125,0.43053978504798174
