dataset,model,held_out,n_test,n_train,n_test_pos,n_test_neg,best_threshold,best_params,accuracy,balanced_accuracy,macro_f1,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,roc_auc
campanella,rf,subject_01,81,1763.0,57,24,0.5099999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 400}",0.6790123456790124,0.5307017543859649,0.5160845588235294,0.4,0.16666666666666666,0.23529411764705882,0.7183098591549296,0.8947368421052632,0.796875,0.7068713450292398
campanella,rf,subject_02,67,1777.0,43,24,0.4799999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.6268656716417911,0.5159883720930232,0.4754149702474162,0.42857142857142855,0.125,0.1935483870967742,0.65,0.9069767441860465,0.7572815533980582,0.746124031007752
campanella,rf,subject_03,67,1777.0,43,24,0.5199999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.7761194029850746,0.7979651162790697,0.7710184552289816,0.6363636363636364,0.875,0.7368421052631579,0.9117647058823529,0.7209302325581395,0.8051948051948052,0.8265503875968991
campanella,rf,subject_04,65,1779.0,41,24,0.5599999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.8307692307692308,0.8226626016260162,0.819853867472915,0.76,0.7916666666666666,0.7755102040816326,0.875,0.8536585365853658,0.8641975308641975,0.931910569105691
campanella,rf,subject_05,67,1777.0,43,24,0.5199999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.7611940298507462,0.7126937984496124,0.7225672877846792,0.7222222222222222,0.5416666666666666,0.6190476190476191,0.7755102040816326,0.8837209302325582,0.8260869565217391,0.8275193798449613
campanella,rf,subject_06,70,1774.0,46,24,0.5399999999999999,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.6428571428571429,0.618659420289855,0.6144525225820665,0.48148148148148145,0.5416666666666666,0.5098039215686274,0.7441860465116279,0.6956521739130435,0.7191011235955056,0.6585144927536232
campanella,rf,subject_08,67,1777.0,43,24,0.48999999999999994,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.6716417910447762,0.5784883720930232,0.5664705882352942,0.6,0.25,0.35294117647058826,0.6842105263157895,0.9069767441860465,0.78,0.693798449612403
campanella,rf,subject_09,71,1773.0,47,24,0.49999999999999994,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.7183098591549296,0.726063829787234,0.7051495016611296,0.5625,0.75,0.6428571428571429,0.8461538461538461,0.7021276595744681,0.7674418604651163,0.7943262411347518
campanella,rf,subject_11,69,1775.0,45,24,0.4599999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.7971014492753623,0.825,0.7918103448275862,0.6470588235294118,0.9166666666666666,0.7586206896551724,0.9428571428571428,0.7333333333333333,0.825,0.8361111111111111
campanella,rf,subject_12,67,1777.0,43,24,0.49999999999999994,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.7164179104477612,0.622577519379845,0.6180618061806181,0.7777777777777778,0.2916666666666667,0.42424242424242425,0.7068965517241379,0.9534883720930233,0.8118811881188119,0.811046511627907
campanella,rf,subject_13,70,1774.0,46,24,0.5099999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.7857142857142857,0.7472826086956521,0.7543859649122806,0.7142857142857143,0.625,0.6666666666666666,0.8163265306122449,0.8695652173913043,0.8421052631578947,0.8460144927536231
campanella,rf,subject_14,84,1760.0,60,24,0.4799999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.7023809523809523,0.6791666666666667,0.662107803700724,0.4838709677419355,0.625,0.5454545454545454,0.8301886792452831,0.7333333333333333,0.7787610619469026,0.7423611111111111
campanella,rf,subject_15,72,1772.0,48,24,0.42999999999999994,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 200}",0.7638888888888888,0.6770833333333334,0.6908310179338217,0.7692307692307693,0.4166666666666667,0.5405405405405406,0.7627118644067796,0.9375,0.8411214953271028,0.8958333333333333
campanella,rf,subject_17,75,1769.0,51,24,0.5099999999999999,"{'clf__max_depth': None, 'clf__min_samples_leaf': 4, 'clf__n_estimators': 400}",0.6133333333333333,0.49509803921568624,0.4797895240373117,0.3076923076923077,0.16666666666666666,0.21621621621621623,0.6774193548387096,0.8235294117647058,0.7433628318584071,0.5964052287581699
