,,accuracy,accuracy,accuracy,balanced_accuracy,balanced_accuracy,balanced_accuracy,macro_f1,macro_f1,macro_f1,precision_0,precision_0,precision_0,recall_0,recall_0,recall_0,f1_0,f1_0,f1_0,precision_1,precision_1,precision_1,recall_1,recall_1,recall_1,f1_1,f1_1,f1_1,roc_auc,roc_auc,roc_auc
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
dataset,model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
campanella,rf,0.719762498627117,0.06962237657452607,26,0.688987704805504,0.09650825081617512,26,0.6732038110696885,0.10058919636945098,26,0.5959974712990695,0.13853182311251552,26,0.5865384615384616,0.2519157368278895,26,0.5605832382019817,0.1715607474249149,26,0.8041836499215892,0.08756024143595269,26,0.7914369480725464,0.12490980700420072,26,0.7858243839373953,0.06035031598655931,26,0.7904662952284778,0.0810890311923071,26
campanella,svm,0.6989041664828761,0.07077110708643718,26,0.6658897458964029,0.09806623695545694,26,0.649602016732262,0.09934429842655133,26,0.5643896054184813,0.12515932130873986,26,0.5657051282051282,0.25608513040997516,26,0.5319132221829141,0.1752678864239494,26,0.7915469245400578,0.08651048514980157,26,0.7660743635876777,0.12794457832263367,26,0.76729081128161,0.06296129541631577,26,0.7576408713490209,0.08597458205560238,26
campanella,xgb,0.7214044145025025,0.056915080894345646,26,0.6815281798342762,0.07771580602593407,26,0.6738732619050978,0.08210649761123665,26,0.6046327347900303,0.10653733195542363,26,0.5560897435897435,0.20308123295737393,26,0.5569847227472231,0.1433976072224379,26,0.7891885689498042,0.07165897655752877,26,0.8069666160788087,0.1020190208411254,26,0.7907618010629727,0.047279981563580514,26,0.7842643247463917,0.07728130098432417,26
nurse,rf,0.6735294266389563,0.29521912455567545,11,0.6547011195293992,0.3008801727702173,11,0.3819471618393727,0.1447799178275999,11,0.011322011322011322,0.026028188787016,11,0.0030048076923076925,0.007365150817237274,11,0.004720740337506805,0.011409172748081385,11,0.7850073291579343,0.34188618258388115,11,0.7702769499489797,0.27217705592177577,11,0.7591735833412386,0.2897021030108972,11,0.20884428707727234,0.13852528346415746,3
nurse,svm,0.7073031350377611,0.2931220102199951,11,0.6910753524037285,0.30054013087460285,11,0.4014667505565926,0.1311625997912857,11,0.13155711706436343,0.31603928664982767,11,0.018727923861852434,0.03982566889467585,11,0.03202135255784052,0.06921426022961276,11,0.7808119912337255,0.3460405938744414,11,0.7850277170034144,0.2743677871914296,11,0.7709121485553446,0.3039933318525945,11,0.3123919545310959,0.22247350616972988,3
nurse,xgb,0.6394168314869983,0.2974731900774048,11,0.6181509879555298,0.30112127626714813,11,0.37034853713850596,0.13731468102464106,11,0.10738335738335737,0.29749310573493953,11,0.00789909495266638,0.013229678090374985,11,0.013786127620869728,0.02448871948452507,11,0.7792965050063793,0.35034378215060996,11,0.7199046100774555,0.28858100357872424,11,0.7269109466561421,0.29706438620064013,11,0.1947544155584833,0.12656687080608287,3
wesad,rf,0.7481297193313972,0.19688327863170074,15,0.7617912401608053,0.16245326926954165,15,0.7162070785094126,0.22590988356553818,15,0.7664815851740706,0.325533394903124,15,0.7194871794871796,0.3338788857650716,15,0.7304106974557735,0.31255579890776286,15,0.7296477619150663,0.24152933664924173,15,0.8040953008344313,0.2511950023192385,15,0.7020034595630517,0.19428131551650685,15,0.8597547098634055,0.16008182849141217,15
wesad,svm,0.7721325157122736,0.1736340869402894,15,0.763206642073919,0.15800705528423217,15,0.7234151511167445,0.22617529232234082,15,0.8728406428292498,0.11034075107256638,15,0.8026225820962662,0.3018456830504814,15,0.7796476414054255,0.2559384455861603,15,0.663725002555511,0.3384303761680224,15,0.7237907020515716,0.3125774714597672,15,0.6671826608280634,0.29463330646370767,15,0.8862398896552215,0.12200680071603587,15
wesad,xgb,0.753837207818959,0.24031471868375695,15,0.7579966531053487,0.21872373808627033,15,0.7167833484164863,0.2758424673215121,15,0.8043294882420311,0.2749407714934319,15,0.7506410256410256,0.3504027154895459,15,0.7409273306032695,0.3326641191292724,15,0.6712566140755257,0.3184639077658566,15,0.7653522805696719,0.3015719720680273,15,0.6926393662297029,0.2919922734269185,15,0.8610095504546306,0.18917710478153676,15
